万象🇨🇳中国央视🇨🇳,#genre#
CCTV1,http://go.bkpcp.top/mg/cctv1
CCTV2,http://go.bkpcp.top/mg/cctv2
CCTV3,http://go.bkpcp.top/mg/cctv3
CCTV4,http://go.bkpcp.top/mg/cctv4
CCTV5,http://go.bkpcp.top/mg/cctv5
CCTV5+,http://go.bkpcp.top/mg/cctv5p
CCTV6,http://go.bkpcp.top/mg/cctv6
CCTV7,http://go.bkpcp.top/mg/cctv7
CCTV8,http://go.bkpcp.top/mg/cctv8
CCTV9,http://go.bkpcp.top/mg/cctv9
CCTV10,http://go.bkpcp.top/mg/cctv10
CCTV11,http://go.bkpcp.top/mg/cctv11
CCTV12,http://go.bkpcp.top/mg/cctv12
CCTV13,http://go.bkpcp.top/mg/cctv13
CCTV14,http://go.bkpcp.top/mg/cctv14
CCTV15,http://go.bkpcp.top/mg/cctv15
CCTV16,http://go.bkpcp.top/mg/cctv16
CCTV17,http://go.bkpcp.top/mg/cctv17
CCTV4欧洲,http://go.bkpcp.top/mg/cctv4o
CCTV4美洲,http://go.bkpcp.top/mg/cctv4m
CHC家庭影院,http://m.061899.xyz/mg/jtyy
CHC动作电影,http://m.061899.xyz/mg/dzdy
CHC影迷电影,http://m.061899.xyz/mg/ymdy
CCTV发现之旅,http://m.061899.xyz/mg/fxzl
CCTV中学生,http://m.061899.xyz/mg/zxs
CCTV老故事,http://m.061899.xyz/mg/lgs
CETV 1 中国教育,http://m.061899.xyz/mg/cetv1
CETV 2 中国教育,http://m.061899.xyz/mg/cetv2
CETV 4 中国教育,http://m.061899.xyz/mg/cetv4
CGTN,http://m.061899.xyz/mg/cgtn
CGTN纪录,http://m.061899.xyz/mg/cgtnjl
CGTN英语,https://english-livetx.cgtn.com/hls/yypdyyctzb_hd.m3u8
CGTN阿语,https://arabic-liveali.cgtn.com/hls/LSveq57bErWLinBnxosqjisZ220802LSTefTAS9zc9mpU08y3np9TH220802cd/playlist.m3u8
CGTN纪录,https://english-livetx.cgtn.com/hls/yypdjlctzb_hd.m3u8
CGTN西语,https://espanol-liveali.cgtn.com/hls/LSveOGBaBw41Ea7ukkVAUdKQ220802LSTexu6xAuFH8VZNBLE1ZNEa220802cd/playlist.m3u8
CGTN法语,https://francais-livews.cgtn.com/hls/LSvev95OuFZtKLc6CeKEFYXj220802LSTeV6PO0Ut9r71Uq3k5goCA220802cd/playlist.m3u8
CGTN俄语,https://russian-livews.cgtn.com/hls/LSvexABhNipibK5KRuUkvHZ7220802LSTeze9o8tdFXMHsb1VosgoT220802cd/playlist.m3u8
万象🇨🇳中国卫视🇨🇳,#genre#
北京卫视,http://t.061899.xyz/tl/tl.php?id=bjws
东方卫视,http://t.061899.xyz/tl/tl.php?id=dfws
浙江卫视,http://t.061899.xyz/tl/tl.php?id=zjws
江苏卫视,http://t.061899.xyz/tl/tl.php?id=jsws
湖南卫视,http://t.061899.xyz/tl/tl.php?id=hunws
广东卫视,http://t.061899.xyz/tl/tl.php?id=gdws
深圳卫视,http://t.061899.xyz/tl/tl.php?id=szws
天津卫视,http://t.061899.xyz/tl/tl.php?id=tjws
安徽卫视,http://t.061899.xyz/tl/tl.php?id=ahws
山东卫视,http://t.061899.xyz/tl/tl.php?id=sdws
山西卫视,http://t.061899.xyz/tl/tl.php?id=sxiws
辽宁卫视,http://t.061899.xyz/tl/tl.php?id=lnws
河北卫视,http://t.061899.xyz/tl/tl.php?id=hbws
河南卫视,http://t.061899.xyz/tl/tl.php?id=hnws
江西卫视,http://t.061899.xyz/tl/tl.php?id=jxws
四川卫视,http://t.061899.xyz/tl/tl.php?id=scws
重庆卫视,http://t.061899.xyz/tl/tl.php?id=cqws
贵州卫视,http://t.061899.xyz/tl/tl.php?id=gzws
湖北卫视,http://t.061899.xyz/tl/tl.php?id=hubws
广西卫视,http://t.061899.xyz/tl/tl.php?id=gxws
湾区卫视,http://t.061899.xyz/tl/tl.php?id=dwqws
云南卫视,http://t.061899.xyz/tl/tl.php?id=ynws
东南卫视,http://t.061899.xyz/tl/tl.php?id=dnws
海南卫视,http://t.061899.xyz/tl/tl.php?id=hinws
青海卫视,http://t.061899.xyz/tl/tl.php?id=qhws
甘肃卫视,http://t.061899.xyz/tl/tl.php?id=gsws
陕西卫视,http://t.061899.xyz/tl/tl.php?id=sxws
宁夏卫视,http://t.061899.xyz/tl/tl.php?id=nxws
新疆卫视,http://t.061899.xyz/tl/tl.php?id=xjws
吉林卫视,http://t.061899.xyz/tl/tl.php?id=jlws
西藏卫视,http://t.061899.xyz/tl/tl.php?id=xzws
内蒙古视,http://t.061899.xyz/tl/tl.php?id=nmgws
黑龙江视,http://t.061899.xyz/tl/tl.php?id=hljws
万象💎4K超高清💎,#genre#
东方卫视4K,http://go.bkpcp.top/mg/dfws
浙江卫视4K,http://go.bkpcp.top/mg/zjws
湖南卫视4K,http://go.bkpcp.top/mg/hunws
苏州4K,https://tylive.kan0512.com/norecord/csztv4k_4k.m3u8
广州南国都市4K,https://tencentplaybusiness.gztv.com/live/nanguodushi.m3u8
万象🇨🇳中国地方频道🇨🇳,#genre#
浙江新闻,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江国际,https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
浙江少儿,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江教科,https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
之江纪录,https://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
浙江民生,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江经济,https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江钱江,https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
内蒙古农牧,http://play1-qk.nmtv.cn:80/live/1686561299036179.m3u8
内蒙古新闻综合,http://play1-qk.nmtv.cn/live/1686560423879174.m3u8
内蒙古少儿,http://play1-qk.nmtv.cn/live/1686560464515368.m3u8
内蒙古文体娱乐,http://play1-qk.nmtv.cn/live/1686561195713372.m3u8
内蒙古经济生活,http://play1-qk.nmtv.cn/live/1686562470947181.m3u8
内蒙古蒙语卫视,http://play1-qk.nmtv.cn/live/1686560387346365.m3u8
内蒙古蒙语文化,http://play1-qk.nmtv.cn/live/1686561065304370.m3u8
河北都市,http://shijiazhuangjingshi-12.synology.me:8092/hls/19/index.m3u8
河北都市,http://shijiazhuangjingshi-b.synology.me:8092/hls/19/index.m3u8
河北公共,http://shijiazhuangjingshi-12.synology.me:8092/hls/20/index.m3u8
河北公共,http://shijiazhuangjingshi-b.synology.me:8092/hls/20/index.m3u8
